hour,nb_posts,avg_comments,total_comments,zscore,anomaly_zscore,rolling_mean,rolling_std,upper_band,lower_band,anomaly_ma,lag_1,lag_2,lead_1,is_night,if_pred,if_score,anomaly_if,nb_methods,anomaly_2of3,anomaly_3of3
0,167,19.820359281437124,3310,-0.5032584405498103,False,278.5,157.6848122046001,515.0272183069001,41.972781693099876,False,0.0,0.0,390.0,1,1,0.46905617757828727,False,0,False,False
1,390,16.356410256410257,6379,-0.32193090764132876,False,713.3333333333334,761.3621564888377,1855.3765680665902,0.0,False,167.0,0.0,1583.0,1,1,0.48954807888745,False,0,False,False
2,1583,3.4226152874289326,5418,0.6481307370215345,False,985.6666666666666,596.5017462952925,1880.4192861096053,90.91404722372783,False,390.0,167.0,984.0,1,1,0.4856873346344402,False,0,False,False
3,984,1.5548780487804879,1530,0.16106709481444723,False,1283.0,299.50125208419433,1732.2518781262916,833.7481218737084,False,1583.0,390.0,1282.0,1,1,0.4918841846460046,False,0,False,False
4,1282,0.0,0,0.40337922399259746,False,1217.6666666666667,209.06059727584594,1531.2575625804357,904.0757707528978,False,984.0,1583.0,1387.0,1,1,0.5051139382971149,False,0,False,False
5,1387,0.003604902667627974,5,0.4887576587701336,False,1534.3333333333333,350.0804669405785,2059.4540337442013,1009.2126329224654,False,1282.0,984.0,1934.0,1,1,0.5267464796899625,False,0,False,False
6,1934,0.2249224405377456,435,0.933538647563584,False,1107.0,996.9398176419678,2602.4097264629518,0.0,False,1387.0,1282.0,0.0,1,-1,0.5316192319572187,True,1,False,False
7,0,0.0,0,-0.6390508082436059,False,701.3333333333334,1070.8993105485376,2307.68229915614,0.0,False,1934.0,1387.0,170.0,0,1,0.4940737231819126,False,0,False,False
8,170,7.8,1326,-0.5008190566990236,False,135.0,121.34661099511601,317.01991649267404,0.0,False,0.0,1934.0,235.0,0,1,0.42482457667150975,False,0,False,False
9,235,9.493617021276595,2231,-0.44796573993197736,False,212.66666666666666,36.963946398258976,268.11258626405515,157.2207470692782,False,170.0,0.0,233.0,0,1,0.36668868327449067,False,0,False,False
10,233,18.61802575107296,4338,-0.44959199583250187,False,246.33333333333334,21.385353243128115,278.4113631980255,214.25530346864116,False,235.0,170.0,271.0,0,1,0.3573708998459733,False,0,False,False
11,271,17.782287822878228,4819,-0.4186931337225364,False,256.6666666666667,20.647840887932393,287.63842799856525,225.6949053347681,False,233.0,235.0,266.0,0,1,0.3555228111185463,False,0,False,False
12,266,17.417293233082706,4633,-0.42275877347384766,False,268.6666666666667,2.516611478432017,272.4415838843147,264.8917494490187,False,271.0,233.0,269.0,0,1,0.3570997753792507,False,0,False,False
13,269,13.423791821561338,3611,-0.4203193896230609,False,332.6666666666667,112.88194423083522,501.9895830129195,163.34375032041385,False,266.0,271.0,463.0,0,1,0.3581957735178157,False,0,False,False
14,463,10.190064794816415,4718,-0.2625725672721846,False,415.0,128.88754788574448,608.3313218286168,221.66867817138328,False,269.0,266.0,513.0,0,1,0.37132061217402357,False,0,False,False
15,513,18.71345029239766,9600,-0.22191616975907213,False,499.3333333333333,31.785741037978443,547.011944890301,451.65472177636565,False,463.0,269.0,522.0,0,1,0.38665581553642436,False,0,False,False
16,522,16.766283524904214,8752,-0.21459801820671187,False,2367.0,3203.4311292737357,7172.146693910603,0.0,False,513.0,463.0,6066.0,0,-1,0.6318779622245139,True,1,False,False
17,6066,0.9754368611935378,5917,4.293383338047197,True,2266.6666666666665,3293.9680225122606,7207.618700435058,0.0,False,522.0,513.0,212.0,0,-1,0.6170218192084063,True,2,True,False
18,212,10.85377358490566,2301,-0.46666768278800913,False,2118.3333333333335,3419.445910280397,7247.502198753929,0.0,False,6066.0,522.0,77.0,0,-1,0.623585525073875,True,1,False,False
19,77,9.688311688311689,746,-0.5764399560734127,False,96.33333333333333,107.31418048578304,257.3046040620079,0.0,False,212.0,6066.0,0.0,0,1,0.5295855092020472,False,0,False,False
20,0,0.0,0,-0.6390508082436059,False,82.0,84.6108740056613,208.91631100849196,0.0,False,77.0,212.0,169.0,0,1,0.3941883456487155,False,0,False,False
21,169,48.514792899408285,8199,-0.5016321846492858,False,543.6666666666666,799.7764270928063,1743.3313073058762,0.0,False,0.0,77.0,1462.0,0,1,0.446368730553362,False,0,False,False
22,1462,12.40424076607387,18135,0.5497422550398023,False,612.6666666666666,735.7895985492966,1716.3510644906114,0.0,False,169.0,0.0,207.0,0,1,0.4309298920164958,False,0,False,False
23,207,24.02415458937198,4973,-0.4707333225393204,False,834.5,887.419010389119,2165.6285155836786,0.0,False,1462.0,169.0,0.0,1,1,0.4805057451518974,False,0,False,False
